Cust_Id,Calendar_Dt,Amt_LE
95447222,2019-11-04,150.09
181156644,2019-11-04,107.16
187031173,2019-11-04,187.67
186602453,2019-11-04,0.00
182171775,2019-11-04,33.37
64931447,2019-11-04,11.55
184107724,2019-11-01,43.07
124376057,2019-11-04,140.01
66182533,2019-11-01,0.03
187490277,2019-11-07,108.20
180282705,2019-11-04,0.49
31092581,2019-11-02,108.37
126430320,2019-11-08,13.11
166937960,2019-11-07,0.03
99913403,2019-11-04,81.05
54667228,2019-11-04,0.53
182568704,2019-11-03,0.00
86731302,2019-11-04,13.33
122122217,2019-11-04,26.39
82173460,2019-11-04,47.71
63210510,2019-11-04,47.38
42136466,2019-11-04,70.53
61187651,2019-11-05,0.32
186416620,2019-11-05,0.00
152147139,2019-11-03,14.81
179918507,2019-11-05,41.39
187583305,2019-11-02,28.19
186844015,2019-11-07,872.20
185838775,2019-11-05,0.53
135381747,2019-11-04,102.27
9947777,2019-11-08,114.87
141526468,2019-11-02,0.00
179054827,2019-11-07,17.74
173117124,2019-11-04,0.97
187243453,2019-11-05,12.51
138937550,2019-11-04,32.58
186812468,2019-11-02,9.22
51785440,2019-11-04,40.40
135644231,2019-11-08,0.02
186952478,2019-11-04,977.08
186715137,2019-11-05,1.60
152418025,2019-11-05,0.64
69562373,2019-11-06,30.45
175731818,2019-11-05,68.95
165892302,2019-11-05,0.01
31220765,2019-11-05,58.06
143126664,2019-11-03,91.55
175286784,2019-11-02,3.13
180133927,2019-11-05,50.12
102922885,2019-11-06,187.71
178338457,2019-11-04,2.57
176391069,2019-11-05,0.03
19810232,2019-11-03,0.02
109421244,2019-11-06,51.06
156585912,2019-11-01,61.77
178447717,2019-11-05,0.32
181882535,2019-11-03,225.55
174888734,2019-11-05,57.48
186622559,2019-11-05,3.85
100510193,2019-11-06,59.28
32874612,2019-11-05,76.61
96426320,2019-11-01,0.19
97510640,2019-11-03,10.20
94837237,2019-11-05,31.73
161144101,2019-11-05,5.47
163373490,2019-11-05,318.31
140684852,2019-11-06,0.33
43000266,2019-11-03,0.00
187713609,2019-11-07,102.69
115447081,2019-11-05,156.99
154362885,2019-11-04,48.72
115194486,2019-11-05,62.87
161386765,2019-11-05,0.01
111720638,2019-11-03,265.65
3648871,2019-11-06,2.26
28469954,2019-11-05,740.03
176565991,2019-11-05,273.53
2179000,2019-11-04,3.21
51225375,2019-11-05,156.32
154853271,2019-11-07,41.96
29134261,2019-11-05,19.87
173953457,2019-11-01,0.32
2863537,2019-11-08,304.43
145717195,2019-11-05,0.39
175848052,2019-11-01,0.00
187803211,2019-11-02,694.05
187441030,2019-11-03,12.24
183697783,2019-11-02,0.01
149477589,2019-11-01,0.00
149042650,2019-11-05,221.29
109241489,2019-11-05,0.10
123973601,2019-11-07,7.04
120087429,2019-11-05,214.82
136207926,2019-11-05,0.09
178583304,2019-11-03,48.54
24978019,2019-11-07,29.14
139005229,2019-11-03,2.69
100913953,2019-11-05,334.94
155914793,2019-11-03,85.02
114372324,2019-11-07,249.47
178184499,2019-11-06,37.21
186240678,2019-11-05,66.82
134172036,2019-11-01,84.52
181275488,2019-11-07,12.93
152104214,2019-11-05,137.17
187303262,2019-11-04,70.38
166198956,2019-11-05,0.00
187230809,2019-11-05,1.47
66667983,2019-11-03,0.39
182722010,2019-11-08,28.49
187544927,2019-11-08,6.98
159826762,2019-11-07,0.12
166639136,2019-11-05,0.00
132056475,2019-11-05,100.98
177532487,2019-11-06,0.02
98706363,2019-11-08,0.32
127991137,2019-11-04,32.27
150369817,2019-11-01,0.01
141553895,2019-11-03,109.34
180288211,2019-11-04,0.00
123027375,2019-11-02,28.85
16686903,2019-11-07,0.32
89888014,2019-11-05,46.83
146229624,2019-11-05,560.20
179680329,2019-11-08,8.43
14107405,2019-11-08,1.92
188128789,2019-11-05,169.71
151317063,2019-11-02,1.00
154187086,2019-11-04,1.38
148758550,2019-11-05,0.00
180886818,2019-11-05,1.18
132638930,2019-11-05,126.68
15154367,2019-11-05,0.00
179070691,2019-11-01,100.61
53921841,2019-11-04,0.01
7272212,2019-11-05,25.25
171151973,2019-11-03,0.01
2728318,2019-11-05,3.20
6585881,2019-11-05,0.10
40108528,2019-11-08,2.37
98609726,2019-11-03,131.54
97253948,2019-11-05,186.08
100431704,2019-11-05,97.59
7371276,2019-11-05,1.92
74234859,2019-11-06,80.17
59601382,2019-11-02,1.28
160737180,2019-11-05,1248.91
141633017,2019-11-05,159.75
115168344,2019-11-07,0.00
51162731,2019-11-05,25.11
160343820,2019-11-01,75.03
32418505,2019-11-02,31.36
119532971,2019-11-08,207.81
147243062,2019-11-01,220.09
143364190,2019-11-05,71.79
5793430,2019-11-04,307.69
178057640,2019-11-03,0.00
186892078,2019-11-04,187.72
150594844,2019-11-05,0.00
8690430,2019-11-03,70.85
184629655,2019-11-06,80.05
166601839,2019-11-01,1.18
183602187,2019-11-05,143.07
187132031,2019-11-03,0.39
27315200,2019-11-06,6.26
136964201,2019-11-02,50.75
179494008,2019-11-06,128.06
157831553,2019-11-05,115.09
161033516,2019-11-05,85.62
171362867,2019-11-05,99.45
63156451,2019-11-02,0.21
134353749,2019-11-05,7.86
178740383,2019-11-03,99.63
31368586,2019-11-05,201.55
182897014,2019-11-07,0.32
152942669,2019-11-05,110.96
133938426,2019-11-07,81.21
137102133,2019-11-01,0.04
176125342,2019-11-05,101.96
84896638,2019-11-04,3.30
95447222,2019-11-05,110.29
181156644,2019-11-05,163.96
187031173,2019-11-05,1542.36
186602453,2019-11-06,161.58
182171775,2019-11-05,35.62
64931447,2019-11-05,5.19
184107724,2019-11-02,0.00
124376057,2019-11-05,65.59
66182533,2019-11-02,0.02
187490277,2019-11-08,96.23
180282705,2019-11-05,0.39
31092581,2019-11-03,101.69
71559723,2019-11-01,4.81
130631548,2019-11-07,0.00
99913403,2019-11-05,44.04
54667228,2019-11-05,0.44
182568704,2019-11-04,0.00
86731302,2019-11-05,16.75
122122217,2019-11-05,18.01
82173460,2019-11-05,3.52
112090813,2019-11-01,101.84
42136466,2019-11-05,0.32
61187651,2019-11-06,0.96
60121376,2019-11-02,1.60
152147139,2019-11-04,31.53
179918507,2019-11-06,59.02
187583305,2019-11-03,4.17
186844015,2019-11-08,211.44
185838775,2019-11-06,0.79
135381747,2019-11-05,276.74
154295980,2019-11-08,0.32
141526468,2019-11-03,0.00
179054827,2019-11-08,336.84
173117124,2019-11-05,0.00
187243453,2019-11-06,23.52
138937550,2019-11-05,0.18
186812468,2019-11-03,59.56
51785440,2019-11-05,142.89
140060532,2019-11-06,131.41
186952478,2019-11-05,202.78
186715137,2019-11-06,6.73
152418025,2019-11-06,0.96
69562373,2019-11-07,12.40
175731818,2019-11-06,0.32
165892302,2019-11-06,0.89
31220765,2019-11-06,49.49
143126664,2019-11-04,51.92
175286784,2019-11-05,0.79
180133927,2019-11-06,34.19
102922885,2019-11-07,65.03
178338457,2019-11-05,7.44
176391069,2019-11-06,10.81
19810232,2019-11-04,0.02
109421244,2019-11-08,106.49
156585912,2019-11-02,163.89
178447717,2019-11-06,0.64
181882535,2019-11-04,143.48
174888734,2019-11-06,36.94
186622559,2019-11-08,4.00
100510193,2019-11-07,163.52
32874612,2019-11-06,19.30
